Actual,Error,Predicted
3880000,-6361.681330977406,-3886361.6813309775
3875000,-9039.928904726326,-3884039.928904726
3875000,-9039.928904726326,-3884039.928904726
3850000,-6375.741134835016,-3856375.741134835
3850000,-8109.871412203646,-3858109.8714122036
3849000,-7432.59434603694,-3856432.594346037
3825000,-7854.222107074491,-3832854.2221070747
3800000,-8322.764155556426,-3808322.7641555564
3799000,-7391.800020031582,-3806391.8000200316
3795000,-8103.751771928454,-3803103.7517719283
3795000,-8247.929297074277,-3803247.929297074
3795000,-7142.978727198277,-3802142.978727198
3780000,-6242.358068162045,-3786242.358068162
3780000,-6001.868663471373,-3786001.868663471
3775000,-7358.004920299875,-3782358.0049203
3750000,-7997.134520982134,-3757997.134520982
3750000,-7161.776360065314,-3757161.776360065
3748000,-7541.106055819224,-3755541.1060558194
3725000,-6404.597922229776,-3731404.5979222297
3699985,-6407.927701552209,-3706392.9277015524
3695000,-7573.051778388499,-3702573.0517783887
3695000,-7295.996228657576,-3702295.9962286577
3695000,-7664.1509068868,-3702664.150906887
3690000,-8375.117714037855,-3698375.1177140377
3680000,-9054.985015392125,-3689054.9850153923
3680000,-5373.886515222371,-3685373.8865152225
3675000,-6939.257294985293,-3681939.2572949855
3650000,-7859.539152593032,-3657859.539152593
3649000,-7796.893047457839,-3656796.893047458
3649000,-7604.233681894072,-3656604.233681894
3600000,-6674.661802175105,-3606674.661802175
3599999,-8174.803643421089,-3608173.8036434213
3599000,-6808.311295716473,-3605808.3112957166
3599000,-6811.7482052851565,-3605811.748205285
3599000,-7154.245846402402,-3606154.2458464024
3598000,-7124.8028418029,-3605124.802841803
3595000,-6550.418809581235,-3601550.418809581
3595000,-9149.976555861036,-3604149.976555861
3589000,-8308.68104621552,-3597308.6810462154
3580000,-5028.70262136205,-3585028.702621362
3550000,-6420.50647280304,-3556420.506472803
3500000,-8879.489726506705,-3508879.4897265066
3500000,-6753.799623262795,-3506753.7996232626
3500000,-6597.706624325806,-3506597.706624326
3500000,-7226.701171586693,-3507226.7011715868
3499000,-7564.370927982327,-3506564.3709279825
3499000,-6529.300467242338,-3505529.3004672425
3499000,-6660.03942869134,-3505660.0394286914
3498000,-8174.47484869618,-3506174.474848696
3498000,-8174.47484869618,-3506174.474848696
3495000,-6694.187706626898,-3501694.187706627
3495000,-7428.759010969192,-3502428.759010969
3495000,-8248.744778804938,-3503248.744778805
3495000,-7929.116608760829,-3502929.116608761
3495000,-8217.5028138074,-3503217.502813807
3495000,-7758.06522004567,-3502758.065220046
3495000,-7646.811317672419,-3502646.8113176725
3488888,-7389.111807589724,-3496277.11180759
3488000,-7449.611403436958,-3495449.611403437
3450000,-7717.781067349943,-3457717.78106735
3450000,-8311.00453179828,-3458311.0045317984
3450000,-8431.199682184673,-3458431.1996821845
3410000,-8756.730709057894,-3418756.7307090578
3400000,-7868.328862109254,-3407868.328862109
3399000,-6820.869893359811,-3405820.86989336
3399000,-7673.719624704205,-3406673.719624704
3398000,-7752.448389902255,-3405752.4483899022
3398000,-8648.249912526466,-3406648.2499125265
3395000,-8667.248415279859,-3403667.2484152797
3395000,-6841.492506462165,-3401841.492506462
3388000,-6217.094815070129,-3394217.0948150703
3388000,-7920.951622995696,-3395920.9516229955
3350000,-8110.792319595937,-3358110.792319596
3350000,-7222.079822091753,-3357222.079822092
3349000,-6435.1190402401035,-3355435.11904024
3349000,-8613.863661995674,-3357613.8636619956
3348000,-7004.018338181585,-3355004.0183381815
3300000,-6606.231837653677,-3306606.2318376536
3300000,-9350.73750021899,-3309350.737500219
3300000,-9350.53636354015,-3309350.53636354
3300000,-6842.913500110768,-3306842.9135001106
3300000,-8411.66514879443,-3308411.6651487947
3300000,-8067.79092400114,-3308067.790924001
3299000,-7737.541302954821,-3306737.541302955
3299000,-6508.7709357252215,-3305508.7709357254
3295000,-8499.47766370682,-3303499.477663707
3295000,-5002.8571529478,-3300002.8571529477
3290000,-8252.886864348851,-3298252.886864349
3290000,-8572.561340265427,-3298572.5613402654
3289000,-8078.563587904344,-3297078.5635879044
3275000,-8068.89523659121,-3283068.8952365913
3275000,-6952.234497200014,-3281952.2344972
3250000,-6204.973690376968,-3256204.973690377
3250000,-7790.408244175284,-3257790.4082441754
3250000,-7669.285116501466,-3257669.2851165016
3250000,-6790.197416164773,-3256790.197416165
3250000,-5211.663376524445,-3255211.6633765246
3250000,-6206.7091169189625,-3256206.709116919
3249000,-7052.657302568174,-3256052.657302568
3249000,-7206.522524902333,-3256206.522524902
3225000,-8633.815964944342,-3233633.815964944
3225000,-8633.815964944342,-3233633.815964944
3225000,-7987.255687366219,-3232987.2556873662
3225000,-8726.140157401684,-3233726.1401574016
3200000,-8652.334368125026,-3208652.334368125
3199900,-5901.590109160037,-3205801.59010916
3199000,-8082.085424609455,-3207082.0854246095
